datetime,open,high,low,close,volume,Name
18-10-2017,1079,1115.05,1077.5,1095.9,2753994,KOTAKBANK
19-10-2017,1094,1094,1070.6,1077.75,277916,KOTAKBANK
23-10-2017,1080,1082.85,1058.05,1061.55,1939538,KOTAKBANK
24-10-2017,1070.45,1076.4,1059,1065.7,1305472,KOTAKBANK
25-10-2017,1071.5,1075,998.5,1010.55,8250123,KOTAKBANK
26-10-2017,1021.4,1025.55,985.15,1018.9,3679909,KOTAKBANK
27-10-2017,1023.5,1045,1022.95,1029,2640498,KOTAKBANK
30-10-2017,1028,1034,1020.5,1028.9,1563715,KOTAKBANK
31-10-2017,1031,1035,1022.05,1025.05,973983,KOTAKBANK
01-11-2017,1032,1037,1017.55,1024.35,1657437,KOTAKBANK
02-11-2017,1023,1033.4,1017.5,1019.55,1287575,KOTAKBANK
03-11-2017,1027.4,1027.4,1008.65,1015.5,2942419,KOTAKBANK
06-11-2017,1015,1019,999.5,1009.75,2793501,KOTAKBANK
07-11-2017,1011,1025.9,1007.8,1013.3,1850889,KOTAKBANK
08-11-2017,1013.3,1021,1007,1011.4,1451235,KOTAKBANK
09-11-2017,1011.4,1015,1002.6,1005.35,1648408,KOTAKBANK
10-11-2017,1001.1,1008.75,990,993.4,1853829,KOTAKBANK
13-11-2017,990,999,982.55,994.7,2132408,KOTAKBANK
14-11-2017,994,1003.2,992.5,999.2,1373565,KOTAKBANK
15-11-2017,998,1014.4,997.85,1011.5,1333954,KOTAKBANK
16-11-2017,1010,1026.45,1008.05,1017.45,1307144,KOTAKBANK
17-11-2017,1027.5,1030,1014.35,1023.2,1842633,KOTAKBANK
20-11-2017,1023.2,1041.9,1016.85,1040.55,1248427,KOTAKBANK
21-11-2017,1042.3,1050,1027.25,1029.85,2439933,KOTAKBANK
22-11-2017,1032.5,1035.3,1019.1,1026.25,1545476,KOTAKBANK
23-11-2017,1031.7,1031.7,1016.35,1022.1,1233925,KOTAKBANK
24-11-2017,1025,1036.5,1020.95,1030.35,1176564,KOTAKBANK
27-11-2017,1029.9,1041.7,1023.5,1036.45,970817,KOTAKBANK
28-11-2017,1036,1040,1026.1,1029.85,734677,KOTAKBANK
29-11-2017,1028.9,1032.85,1022,1026.25,1414642,KOTAKBANK
30-11-2017,1019.1,1020.4,996.15,1000.3,2800528,KOTAKBANK
01-12-2017,1003,1011.75,1001.15,1005.15,2879595,KOTAKBANK
04-12-2017,1006,1011,992.5,997.95,2224349,KOTAKBANK
05-12-2017,998.5,1005.15,995.15,999.85,1823641,KOTAKBANK
06-12-2017,1000,1010.55,996.3,999.65,1775461,KOTAKBANK
07-12-2017,1003,1006,994.15,1001.6,1027520,KOTAKBANK
08-12-2017,1006.8,1012,1003,1009,1884560,KOTAKBANK
11-12-2017,1009,1011.4,1002.05,1008.5,1084771,KOTAKBANK
12-12-2017,1005,1006.9,997.7,1000.4,1826210,KOTAKBANK
13-12-2017,1006,1027,993.05,1014.9,2855676,KOTAKBANK
14-12-2017,1017,1027.05,1007.9,1024.65,1461190,KOTAKBANK
15-12-2017,1032.5,1037,1020.5,1030.1,9518612,KOTAKBANK
18-12-2017,1028.9,1038,999.6,1023.2,1989303,KOTAKBANK
19-12-2017,1024.9,1028.25,1012.5,1021.35,1032586,KOTAKBANK
20-12-2017,1021.35,1022.1,1008.35,1012.7,1980327,KOTAKBANK
21-12-2017,1010.05,1015,1006.8,1010.55,2154856,KOTAKBANK
22-12-2017,1014,1014.5,1006.2,1010.05,1012136,KOTAKBANK
26-12-2017,1009.9,1020.7,1007.05,1016.25,1632043,KOTAKBANK
27-12-2017,1016.7,1022,1010.15,1014.05,560946,KOTAKBANK
28-12-2017,1013,1014.7,1002.6,1004.75,1035750,KOTAKBANK
29-12-2017,1003.25,1012,1002.5,1010.2,1190422,KOTAKBANK
01-01-2018,1011.85,1012.2,996.8,999.95,1317415,KOTAKBANK
02-01-2018,1001,1006,992.5,1003.2,1072207,KOTAKBANK
03-01-2018,1002.6,1006.9,998.1,1000.1,884021,KOTAKBANK
04-01-2018,1001,1002.9,996.1,1000.4,783950,KOTAKBANK
05-01-2018,1002.5,1006.7,996.6,1003.05,2147402,KOTAKBANK
08-01-2018,1008.85,1013.1,1003.7,1006.1,1780412,KOTAKBANK
09-01-2018,1010,1020.65,996,1009.75,1242106,KOTAKBANK
